Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20181119_181432;-4.401;-8.497;1.741;0.013;-0.108;-0.023;
20181119_181432;-4.482;-8.469;1.686;-0.003;-0.062;-0.009;
20181119_181432;-4.480;-8.454;1.662;-0.002;0.001;-0.003;
20181119_181432;-4.439;-8.481;1.671;0.004;0.013;-0.003;
20181119_181432;-4.427;-8.478;1.717;0.002;0.001;-0.004;
20181119_181432;-4.420;-8.459;1.719;0.003;-0.014;-0.000;
20181119_181432;-4.427;-8.457;1.736;0.004;-0.016;-0.003;
20181119_181432;-4.427;-8.457;1.736;0.003;-0.006;-0.003;
20181119_181432;-4.525;-8.440;1.695;0.004;0.012;0.001;
20181119_181432;-4.470;-8.461;1.729;0.002;0.012;0.002;
20181119_181432;-4.470;-8.461;1.729;-0.001;0.004;-0.003;
20181119_181432;-4.446;-8.488;1.686;-0.001;-0.013;-0.000;
20181119_181432;-4.473;-8.421;1.729;-0.000;-0.023;-0.004;
20181119_181432;-4.434;-8.500;1.767;0.001;-0.010;-0.007;
20181119_181432;-4.465;-8.447;1.745;0.004;0.013;-0.001;
20181119_181432;-4.475;-8.433;1.748;0.000;0.009;-0.000;
20181119_181432;-4.518;-8.452;1.678;0.000;0.003;-0.007;
20181119_181432;-4.518;-8.452;1.678;-0.002;-0.000;-0.007;
20181119_181432;-4.420;-8.483;1.652;-0.004;-0.011;-0.005;
20181119_181432;-4.458;-8.452;1.676;-0.001;-0.018;-0.005;
20181119_181432;-4.456;-8.502;1.712;0.003;-0.012;-0.007;
20181119_181432;-4.456;-8.502;1.712;0.005;0.005;-0.004;
20181119_181432;-4.391;-8.457;1.745;0.007;-0.004;-0.004;
20181119_181432;-4.446;-8.449;1.767;0.005;-0.010;-0.007;
20181119_181432;-4.451;-8.490;1.729;0.004;-0.010;-0.007;
20181119_181432;-4.441;-8.459;1.736;0.006;-0.014;-0.001;
20181119_181432;-4.482;-8.435;1.726;0.008;-0.008;-0.001;
20181119_181432;-4.415;-8.437;1.772;0.008;-0.010;-0.001;
20181119_181432;-4.408;-8.457;1.824;0.015;0.008;0.007;
20181119_181432;-4.499;-8.442;1.808;0.002;0.040;0.014;
20181119_181432;-4.458;-8.483;1.786;-0.007;0.023;0.008;
20181119_181432;-4.549;-8.459;1.650;-0.012;0.010;-0.001;
20181119_181432;-4.544;-8.428;1.640;-0.009;0.012;-0.006;
20181119_181432;-4.470;-8.481;1.693;-0.001;0.029;-0.001;
20181119_181433;-4.453;-8.447;1.791;-0.001;0.032;-0.008;
20181119_181433;-4.453;-8.447;1.791;-0.007;0.038;-0.011;
20181119_181433;-4.456;-8.459;1.765;-0.015;0.039;-0.011;
20181119_181433;-4.470;-8.464;1.698;-0.018;0.032;-0.011;
20181119_181433;-4.417;-8.471;1.642;-0.025;0.042;-0.008;
20181119_181433;-4.417;-8.471;1.642;-0.034;0.027;-0.009;
20181119_181433;-4.446;-8.531;1.549;-0.041;-0.004;-0.007;
20181119_181433;-4.446;-8.457;1.619;-0.041;-0.013;-0.007;
20181119_181433;-4.561;-8.445;1.638;-0.040;0.001;-0.000;
20181119_181433;-4.501;-8.497;1.508;-0.038;0.012;0.010;
20181119_181433;-4.480;-8.442;1.592;-0.035;-0.006;0.011;
20181119_181433;-4.480;-8.452;1.563;-0.036;-0.043;0.001;
20181119_181433;-4.314;-8.569;1.549;-0.036;-0.061;0.005;
